32 490
18 30 0.4295125979858443
19 2 0.1361012084362404
19 3 0.5593244243779955
19 10 0.7498035124413074
19 15 0.08207991271887038
19 17 0.7138420667734231
19 20 0.2240184009481384
19 21 0.5601578627993319
19 24 0.06631659793629241
19 28 0.46198744084854715
19 30 0.7905447211555419
19 31 0.5603136891514368
20 2 0.37397922959102503
20 3 0.3957959769563011
20 4 0.6727155578706294
20 6 0.7585918847443531
20 7 0.11544983564016842
20 8 0.6604810682631798
20 9 0.3584580184088303
20 10 0.02424058281773256
20 11 0.08006000601061702
20 14 0.1772688655726511
20 15 0.20072808401245568
20 17 0.09993280815549743
20 25 0.3174098556355798
20 26 0.9875297877782797
20 31 0.3889571262337739
21 4 0.34538680334656535
21 7 0.7609736571440153
21 11 0.39131426456659546
21 14 0.572782522091796
21 17 0.5090262986231113
21 20 0.8986428357532711
21 22 0.1487932732514704
21 23 0.8440370222232564
21 24 0.0006167623784909537
21 25 0.8110679788230508
21 27 0.7035962504781776
22 1 0.9781641003043577
22 3 0.03233222139933867
22 4 0.05002030130930335
22 5 0.6159708464204264
22 6 0.5962479895100649
22 7 0.9230987525247248
22 10 0.5816678192109282
22 12 0.6767799993100423
22 13 0.08545370222638193
22 15 0.6253153646810669
22 17 0.010286333553783611
22 19 0.9676526554920448
22 20 0.5949805590653117
22 22 0.9238767428959045
22 23 0.3276318039150171
22 24 0.27541502088754544
22 25 0.21847080688840292
23 3 0.7984785478525294
23 8 0.17018863391275085
23 11 0.8287142254481168
23 12 0.3844513450639344
23 15 0.9938628646961194
23 17 0.40903159347584195
23 18 0.15609767955559828
23 20 0.897374716389582
23 21 0.6043778600679134
23 22 0.4841873437689401
23 28 0.4823389077703786
23 31 0.37746583673177414
24 1 0.7973822775648671
24 2 0.27971287729799554
24 4 0.6311079673016106
24 5 0.20949997617741967
24 8 0.31521997960236003
24 12 0.8740577094646078
24 15 0.09505022474151159
24 18 0.9716800784896533
24 20 0.6577509972941473
24 21 0.03529234424536032
24 25 0.8749110877833657
24 27 0.9342814435358244
24 28 0.21919422668200805
24 31 0.4803914211013035
25 0 0.1938047132479861
25 2 0.813101314166461
25 3 0.14315369774067288
25 4 0.8981452625321764
25 5 0.9501028090842055
25 7 0.48898087315032845
25 9 0.3358905240695297
25 12 0.7887560601800204
25 13 0.4423546398673034
25 17 0.2739420779575107
25 21 0.30271144704857933
25 22 0.6611437736284411
25 23 0.6341245662638942
25 26 0.32356141921317516
25 27 0.04554859571328951
25 28 0.015253925825915449
25 30 0.18915730065370295
26 0 0.6318303749296691
26 1 0.21793432022351222
26 2 0.638636150627143
26 3 0.0631072970501555
26 5 0.9841663547587967
26 6 0.2140306885073322
26 9 0.7940126214394181
26 13 0.7181341001776463
26 14 0.6039388745597551
26 17 0.7870248736588623
26 19 0.5064646913029293
26 20 0.9702523211181178
26 22 0.2713639625751213
26 24 0.1980880868509729
26 25 0.07077548909864229
26 26 0.12015773998216428
26 27 0.40025918983035447
26 29 0.8706882110108111
26 30 0.5432012545279944
26 31 0.9004216901465414
27 1 0.5180443279492147
27 5 0.4102972233727563
27 7 0.03799257665615818
27 8 0.6167490895750285
27 9 0.8432064500041703
27 12 0.2839885405183059
27 14 0.31911536758797876
27 17 0.5027166879299594
27 19 0.4420510448619339
27 21 0.8359710829136601
27 22 0.5735684201930475
27 23 0.7447372800320337
27 25 0.21422305983187429
27 26 0.45880576752961033
27 28 0.28452713987799527
27 29 0.41352624489808243
27 30 0.24950722034641692
28 0 0.092596932111633
28 1 0.3921495747304393
28 2 0.9498349140617942
28 3 0.5128264896459603
28 4 0.32929624224368015
28 6 0.36136096593460176
28 7 0.6384591733658185
28 8 0.9620139828724401
28 9 0.9981247844227936
28 10 0.12933100686722354
28 11 0.502066315299911
28 12 0.044185699653758403
28 13 0.874262081387551
28 15 0.6240300196787105
28 17 0.5012723938696895
28 18 0.5553586475637771
28 20 0.37387113194951604
28 21 0.5571633953463176
28 24 0.503794339009911
28 26 0.22665284551060416
29 1 0.38115569739721333
29 2 0.44033619108280464
29 4 0.27360695597411244
29 6 0.7842454368681504
29 7 0.6382550418233257
29 10 0.27088474517545735
29 11 0.7801569690119499
29 13 0.6698855087768748
29 14 0.5163552835108435
29 15 0.47338565524716336
29 16 0.7079507185592369
29 21 0.08105572916669113
29 22 0.29140606328148433
29 28 0.20145038485481892
29 29 0.8771932970551702
29 30 0.7692169527552171
30 0 0.5731801759226676
30 2 0.09571839404046578
30 4 0.9188167133146394
30 5 0.12262068910127455
30 6 0.778368059829047
30 8 0.5572056225991603
30 9 0.38578548838666415
30 10 0.7711925095064952
30 11 0.10078886782532037
30 12 0.352434677916455
30 14 0.3237918675216328
30 16 0.0030933284688601237
30 18 0.2237913287658545
30 19 0.13380495030362083
30 20 0.4954923464635991
30 22 0.6761933212073927
30 23 0.792507629459042
30 26 0.5896739592342458
30 28 0.8296366115834132
30 31 0.31337204015731146
31 1 0.6198349214773066
31 3 0.2414732823929534
31 5 0.6533636430115272
31 8 0.6534037265448238
31 10 0.868817895427007
31 11 0.20692141584057266
31 12 0.3882752693804611
31 13 0.9651807167870632
31 15 0.8080250259942242
31 16 0.8528841533046273
31 18 0.2799628886016742
31 19 0.04418183267010245
31 22 0.062330062831238875
31 26 0.7578952337444887
31 29 0.7859695423244668
31 31 0.08994906342391173
